Timestamp,Container,Image,CPU %,Memory Usage (MiB),Memory Limit (MiB),Memory %,Net I/O,Block I/O,PIDs,State,Status,Ports
2025-01-20 07:44:58,android-container-vnc-2,budtmo/docker-android:emulator_13.0,3.63,5353.472,128614.4,4.16,112MB / 3.35MB,28.3MB / 1.99GB,541,running,Up 15 minutes,"9000/tcp, 0.0.0.0:4724->4723/tcp, [::]:4724->4723/tcp, 0.0.0.0:5556->5554/tcp, [::]:5556->5554/tcp, 0.0.0.0:5557->5555/tcp, [::]:5557->5555/tcp, 0.0.0.0:5901->5900/tcp, [::]:5901->5900/tcp, 0.0.0.0:6081->6080/tcp, [::]:6081->6080/tcp"
2025-01-20 07:44:58,android-container-vnc-8,budtmo/docker-android:emulator_14.0,16.71,3880.96,128614.4,3.02,164MB / 5.05MB,0B / 2.13GB,544,running,Up 15 minutes,"9000/tcp, 0.0.0.0:4730->4723/tcp, [::]:4730->4723/tcp, 0.0.0.0:5568->5554/tcp, [::]:5568->5554/tcp, 0.0.0.0:5569->5555/tcp, [::]:5569->5555/tcp, 0.0.0.0:5907->5900/tcp, [::]:5907->5900/tcp, 0.0.0.0:6087->6080/tcp, [::]:6087->6080/tcp"
2025-01-20 07:44:58,android-container-scrcpy-12,halimqarroum/docker-android:api-33,2.42,6775.808,128614.4,5.27,97.9MB / 2.93MB,0B / 1.26GB,260,running,Up 15 minutes,"0.0.0.0:4734->4723/tcp, [::]:4734->4723/tcp, 0.0.0.0:5576->5554/tcp, [::]:5576->5554/tcp, 0.0.0.0:5577->5555/tcp, [::]:5577->5555/tcp, 0.0.0.0:5911->5900/tcp, [::]:5911->5900/tcp, 0.0.0.0:6091->6080/tcp, [::]:6091->6080/tcp"
2025-01-20 07:44:58,android-container-scrcpy-13,halimqarroum/docker-android:api-32,2.82,6512.64,128614.4,5.06,103MB / 3.46MB,0B / 1.59GB,265,running,Up 15 minutes,"0.0.0.0:4735->4723/tcp, [::]:4735->4723/tcp, 0.0.0.0:5578->5554/tcp, [::]:5578->5554/tcp, 0.0.0.0:5579->5555/tcp, [::]:5579->5555/tcp, 0.0.0.0:5912->5900/tcp, [::]:5912->5900/tcp, 0.0.0.0:6092->6080/tcp, [::]:6092->6080/tcp"
2025-01-20 07:44:58,android-container-vnc-1,budtmo/docker-android:emulator_14.0,2.75,5230.592,128614.4,4.07,165MB / 4.14MB,0B / 2.14GB,544,running,Up 15 minutes,"0.0.0.0:4723->4723/tcp, :::4723->4723/tcp, 0.0.0.0:5554-5555->5554-5555/tcp, :::5554-5555->5554-5555/tcp, 0.0.0.0:5900->5900/tcp, :::5900->5900/tcp, 0.0.0.0:6080->6080/tcp, :::6080->6080/tcp, 9000/tcp"
2025-01-20 07:44:58,android-container-vnc-3,budtmo/docker-android:emulator_12.0,3.08,4263.936,128614.4,3.31,102MB / 2.75MB,0B / 1.78GB,560,running,Up 15 minutes,"9000/tcp, 0.0.0.0:4725->4723/tcp, [::]:4725->4723/tcp, 0.0.0.0:5558->5554/tcp, [::]:5558->5554/tcp, 0.0.0.0:5559->5555/tcp, [::]:5559->5555/tcp, 0.0.0.0:5902->5900/tcp, [::]:5902->5900/tcp, 0.0.0.0:6082->6080/tcp, [::]:6082->6080/tcp"
2025-01-20 07:44:58,android-container-vnc-9,budtmo/docker-android:emulator_14.0,0.0,0.0,0.0,0.0,,,0,running,Up 15 minutes,"9000/tcp, 0.0.0.0:4731->4723/tcp, [::]:4731->4723/tcp, 0.0.0.0:5570->5554/tcp, [::]:5570->5554/tcp, 0.0.0.0:5571->5555/tcp, [::]:5571->5555/tcp, 0.0.0.0:5908->5900/tcp, [::]:5908->5900/tcp, 0.0.0.0:6088->6080/tcp, [::]:6088->6080/tcp"
2025-01-20 07:44:58,android-container-vnc-4,budtmo/docker-android:emulator_12.0,3.04,4261.888,128614.4,3.31,101MB / 3.03MB,0B / 1.77GB,577,running,Up 15 minutes,"9000/tcp, 0.0.0.0:4726->4723/tcp, [::]:4726->4723/tcp, 0.0.0.0:5560->5554/tcp, [::]:5560->5554/tcp, 0.0.0.0:5561->5555/tcp, [::]:5561->5555/tcp, 0.0.0.0:5903->5900/tcp, [::]:5903->5900/tcp, 0.0.0.0:6083->6080/tcp, [::]:6083->6080/tcp"
2025-01-20 07:44:58,android-container-vnc-11,budtmo/docker-android:emulator_14.0,384.29,3739.648,128614.4,2.91,45.6MB / 1.94MB,0B / 1.52GB,611,running,Up 15 minutes,"9000/tcp, 0.0.0.0:4733->4723/tcp, [::]:4733->4723/tcp, 0.0.0.0:5574->5554/tcp, [::]:5574->5554/tcp, 0.0.0.0:5575->5555/tcp, [::]:5575->5555/tcp, 0.0.0.0:5910->5900/tcp, [::]:5910->5900/tcp, 0.0.0.0:6090->6080/tcp, [::]:6090->6080/tcp"
2025-01-20 07:44:58,android-container-vnc-10,budtmo/docker-android:emulator_14.0,0.0,0.0,0.0,0.0,,,0,running,Up 15 minutes,"9000/tcp, 0.0.0.0:4732->4723/tcp, [::]:4732->4723/tcp, 0.0.0.0:5572->5554/tcp, [::]:5572->5554/tcp, 0.0.0.0:5573->5555/tcp, [::]:5573->5555/tcp, 0.0.0.0:5909->5900/tcp, [::]:5909->5900/tcp, 0.0.0.0:6089->6080/tcp, [::]:6089->6080/tcp"
2025-01-20 07:44:58,android-container-vnc-6,budtmo/docker-android:emulator_14.0,3.06,5245.952,128614.4,4.08,165MB / 4.34MB,0B / 2.25GB,553,running,Up 15 minutes,"9000/tcp, 0.0.0.0:4728->4723/tcp, [::]:4728->4723/tcp, 0.0.0.0:5564->5554/tcp, [::]:5564->5554/tcp, 0.0.0.0:5565->5555/tcp, [::]:5565->5555/tcp, 0.0.0.0:5905->5900/tcp, [::]:5905->5900/tcp, 0.0.0.0:6085->6080/tcp, [::]:6085->6080/tcp"
2025-01-20 07:44:58,android-container-scrcpy-14,halimqarroum/docker-android:api-28,0.0,0.0,0.0,0.0,,,0,running,Up 15 minutes,"0.0.0.0:4736->4723/tcp, [::]:4736->4723/tcp, 0.0.0.0:5580->5554/tcp, [::]:5580->5554/tcp, 0.0.0.0:5581->5555/tcp, [::]:5581->5555/tcp, 0.0.0.0:5913->5900/tcp, [::]:5913->5900/tcp, 0.0.0.0:6093->6080/tcp, [::]:6093->6080/tcp"
2025-01-20 07:44:58,android-container-vnc-5,budtmo/docker-android:emulator_10.0,11.89,4295.68,128614.4,3.34,45.6MB / 1.33MB,0B / 694MB,330,running,Up 15 minutes,"9000/tcp, 0.0.0.0:4727->4723/tcp, [::]:4727->4723/tcp, 0.0.0.0:5562->5554/tcp, [::]:5562->5554/tcp, 0.0.0.0:5563->5555/tcp, [::]:5563->5555/tcp, 0.0.0.0:5904->5900/tcp, [::]:5904->5900/tcp, 0.0.0.0:6084->6080/tcp, [::]:6084->6080/tcp"
2025-01-20 07:44:58,android-container-vnc-7,budtmo/docker-android:emulator_14.0,2.73,5183.488,128614.4,4.03,163MB / 4.65MB,0B / 2.18GB,541,running,Up 15 minutes,"9000/tcp, 0.0.0.0:4729->4723/tcp, [::]:4729->4723/tcp, 0.0.0.0:5566->5554/tcp, [::]:5566->5554/tcp, 0.0.0.0:5567->5555/tcp, [::]:5567->5555/tcp, 0.0.0.0:5906->5900/tcp, [::]:5906->5900/tcp, 0.0.0.0:6086->6080/tcp, [::]:6086->6080/tcp"
